t,trans_err,rot_err
398.588,8.13437,0.159606
398.608,8.13437,0.159606
398.628,8.13437,0.159606
398.648,8.13437,0.159606
398.668,8.13437,0.159606
398.688,8.13437,0.159606
398.708,8.13437,0.159606
398.728,8.13437,0.159606
398.748,8.13437,0.159606
398.768,8.13437,0.159606
398.788,8.13437,0.159606
398.808,8.13437,0.159606
398.828,8.13437,0.159606
398.848,8.13437,0.159606
398.868,8.13437,0.159606
398.888,8.13437,0.159606
398.908,8.13437,0.159606
398.928,8.13436,0.159606
398.948,8.13436,0.159606
398.968,8.13436,0.159606
398.988,8.13436,0.159606
399.008,8.13436,0.159606
399.028,8.13436,0.159606
399.048,8.13436,0.159606
399.068,8.13436,0.159606
399.088,8.13436,0.159606
399.108,8.13436,0.159606
399.128,8.13436,0.159606
399.149,8.13436,0.159606
399.168,8.13436,0.159606
399.188,8.13436,0.159606
399.208,8.13436,0.159606
399.228,8.13436,0.159606
399.248,8.13436,0.159606
399.268,8.13436,0.159606
399.29,8.13436,0.159606
399.308,8.13436,0.159606
399.328,8.13436,0.159606
399.348,8.13436,0.159606
399.368,8.13436,0.159606
399.388,8.13436,0.159606
399.408,8.13436,0.159606
399.428,8.13436,0.159606
399.448,8.13436,0.159606
399.468,8.13436,0.159606
399.488,8.13436,0.159606
399.508,8.13436,0.159606
399.527,8.13436,0.159606
399.548,8.13436,0.159606
399.568,8.13436,0.159606
399.588,8.13436,0.159606
399.608,8.13436,0.159606
399.628,8.13436,0.159606
399.648,8.13436,0.159606
399.668,8.13436,0.159606
399.688,8.13436,0.159606
399.708,8.13436,0.159606
399.728,8.13436,0.159606
399.748,8.13436,0.159606
399.768,8.13436,0.159606
399.788,8.13436,0.159606
399.808,8.13436,0.159606
399.828,8.13436,0.159606
399.848,8.13436,0.159606
399.868,8.13436,0.159606
399.888,8.13436,0.159606
399.908,8.13436,0.159606
399.928,8.13436,0.159606
399.948,8.13436,0.159606
399.968,8.13436,0.159606
399.988,8.13436,0.159606
400.008,8.13436,0.159606
400.028,8.13436,0.159606
400.048,8.13436,0.159606
400.068,8.13436,0.159606
400.088,8.13436,0.159606
400.108,8.13436,0.159606
400.128,8.13436,0.159606
400.148,8.13436,0.159606
400.168,8.13436,0.159606
400.188,8.13436,0.159606
400.208,8.13436,0.159606
400.228,8.13436,0.159606
400.248,8.13436,0.159606
400.268,8.13436,0.159606
400.288,8.13436,0.159606
400.308,8.13436,0.159606
400.328,8.13436,0.159606
400.348,8.13436,0.159606
400.368,8.13436,0.159606
400.389,8.13436,0.159606
400.408,8.13436,0.159606
400.429,8.13436,0.159606
400.449,8.13435,0.159606
400.469,8.13435,0.159606
400.489,8.13435,0.159606
400.509,8.13435,0.159606
400.529,8.13435,0.159606
400.549,8.13435,0.159606
400.569,8.13435,0.159606
400.589,8.13435,0.159606
400.609,8.13435,0.159606
400.629,8.13435,0.159606
400.649,8.13435,0.159606
400.669,8.13435,0.159606
400.689,8.13435,0.159606
400.709,8.13435,0.159606
400.729,8.13435,0.159606
400.749,8.13435,0.159606
400.769,8.13435,0.159606
400.789,8.13435,0.159606
400.809,8.13435,0.159606
400.829,8.13435,0.159606
400.849,8.13435,0.159606
400.869,8.13435,0.159606
400.889,8.13435,0.159606
400.909,8.13435,0.159606
400.929,8.13435,0.159606
400.949,8.13435,0.159606
400.969,8.13435,0.159606
400.989,8.13435,0.159606
401.009,8.13435,0.159606
401.029,8.13435,0.159606
401.049,8.13435,0.159606
401.069,8.13435,0.159606
401.089,8.13435,0.159606
401.109,8.13435,0.159606
401.129,8.13435,0.159606
401.149,8.13435,0.159606
401.169,8.13435,0.159606
401.189,8.13435,0.159606
401.209,8.13435,0.159606
401.229,8.13435,0.159606
401.249,8.13435,0.159606
401.269,8.13435,0.159606
401.289,8.13435,0.159606
401.309,8.13435,0.159606
401.328,8.13435,0.159606
401.349,8.13435,0.159606
401.369,8.13435,0.159606
401.389,8.14198,0.152508
401.409,8.14986,0.145202
401.429,8.15779,0.137735
401.449,8.16318,0.135538
401.469,8.17111,0.128205
401.489,8.17452,0.128782
401.509,8.17822,0.127698
401.529,8.18609,0.120672
401.549,8.18073,0.133031
401.569,8.1885,0.126304
401.589,8.17928,0.147346
401.609,8.18713,0.143328
401.629,8.17743,0.161808
401.649,8.18533,0.157647
401.669,8.16687,0.18002
401.689,8.17488,0.175746
401.709,8.16494,0.187192
401.729,8.16394,0.190296
401.75,8.17233,0.185688
401.769,8.15257,0.204887
401.789,8.16011,0.203597
401.809,8.16868,0.201567
401.829,8.15809,0.211126
401.849,8.16669,0.209065
401.869,8.1568,0.214001
401.889,8.16543,0.211966
401.909,8.15503,0.216153
401.929,8.16327,0.214305
401.949,8.15391,0.217988
401.969,8.16215,0.216083
401.989,8.15257,0.219782
402.009,8.16131,0.21773
402.029,8.14541,0.222353
402.049,8.15374,0.220472
402.069,8.16248,0.218456
402.089,8.14611,0.224305
402.109,8.15438,0.222482
402.129,8.14572,0.226296
402.149,8.15403,0.224438
402.169,8.14534,0.228217
402.189,8.15363,0.226395
402.209,8.14498,0.230175
